,Bankrupt?, Inventory Turnover Rate (times), Quick Asset Turnover Rate, Inventory/Working Capital, Cash/Total Assets, Current Assets/Total Assets, Allocation rate per person, Net profit before tax/Paid-in capital, Borrowing dependency, Net worth/Assets, Interest Expense Ratio, Cash Reinvestment %, Net Value Growth Rate, Net Value Per Share (B), Current Liability to Current Assets, Interest-bearing debt interest rate, Net Income to Stockholder's Equity, Degree of Financial Leverage (DFL), Total assets to GNP price, Non-industry income and expenditure/revenue, Operating Expense Rate, Research and development expense rate
0,1,0.0001820925974295,6550000000.0,0.276920158240506,0.004094405952288,0.190642959052727,0.0371353015800987,0.137757333534424,0.390284354359258,0.792423738549445,0.629951302036958,0.363725271040572,0.000326977269203,0.147949938898487,0.11825047660899,0.0007250725072507,0.82789021403512,0.0266006307607414,0.0092194400211029,0.302646433889668,0.0001256968688759,0.0
1,1,9360000000.0,7700000000.0,0.28964157642601,0.0149477269714099,0.182419054120616,0.0123349721287826,0.168961616770983,0.376760019951553,0.828823653898479,0.635172463390912,0.376709139003763,0.0004430401005442,0.182251064009102,0.0477752815903248,0.0006470647064706,0.839969268005573,0.264576819837375,0.0083233017948103,0.303556430290771,0.0002897850537287,0.0
2,1,65000000.0,0.001022676471902,0.277455528130626,0.0009909444511248,0.602805701668708,0.141016311871331,0.148035593092527,0.379092920106557,0.792484203525108,0.629631443404885,0.368913229760441,0.0003964253147034,0.177910749652353,0.0253464891288078,0.0007900790079007,0.836774308550174,0.0265547199199004,0.0400028528527523,0.302035177342951,0.0002361297205563,25500000.0
3,1,7130000000.0,6050000000.0,0.276580304232685,0.0188506248270314,0.225814868882578,0.0213199897441037,0.147560515798205,0.379742687599394,0.848535235964567,0.63022835303626,0.384076599232517,0.0003824259063219,0.154186507100417,0.0672496172630687,0.0004490449044904,0.834697106753341,0.0266966344214761,0.0032524752911273,0.303349536022685,0.0001078888488144,0.0
4,1,0.000163367440506,5050000000.0,0.287912652687691,0.0141609737513009,0.358380159768393,0.0239882116504549,0.167460975793681,0.375025442703033,0.893490945369894,0.636054985548143,0.379689653887709,0.0004389475818729,0.167502422991024,0.0477253717624306,0.0006860686068606,0.839972745788203,0.0247518480523254,0.0038775630938002,0.303474977757658,7890000000.0,0.0
5,1,650000000.0,2810000000.0,0.276678474304155,0.0026452256427289,0.214535988082286,0.0328287701112501,0.137825201719327,0.38144818747302,0.819572512622064,0.630183833098177,0.388025781453746,0.0003517819250519,0.15557709325355,0.099521933114496,0.0007160716071607,0.829938957445841,0.026675365750547,0.0052778749010734,0.303115813175443,0.0001571499952184,0.0
6,0,0.0001620299292972,9560000000.0,0.276643291966357,0.0229885979786101,0.295221006636909,0.0097031414638638,0.127939069451776,0.384998982291879,0.783898176980984,0.629987945370611,0.375302708542901,0.0003517569706697,0.158821794277527,0.060765124792415,0.0008050805080508,0.829979763773696,0.0266222980418273,0.0183718717412392,0.302814414633032,0.0003984833580005,730000000.0
7,0,0.0001990980970845,6180000000.0,0.277275204970332,0.0146159133960059,0.447942034514932,0.0070580410645001,0.179518889978131,0.374219104729994,0.891797926051335,0.631379022205175,0.384234939085727,0.0004510504572116,0.176983692216931,0.0302011045942807,0.0006300630063006,0.841459439726482,0.0270305165537491,0.0100045037641927,0.303544587044117,9000000000.0,50900000.0
8,0,0.000304188263492,9840000000.0,0.277087430376265,0.145189217702725,0.414645601298328,0.0088146221616528,0.172158962370862,0.370253398138601,0.941409438582701,0.630914987465925,0.377994486047465,0.0004527224008151,0.184189456828621,0.021710461445184,0.0007370737073707,0.840486633095349,0.0268906304546816,0.0008240712069684,0.303583500568838,0.000168713644609,0.0
9,0,0.0002059767261585,3600000000.0,0.277337460862513,0.0087727909152724,0.57718930416151,0.0057206126777132,0.175657944348088,0.374508760118367,0.878707258820328,0.6321882576951,0.390084199545471,0.0004449116792048,0.177447220934642,0.0254943019553504,0.0006720672067206,0.840688177069564,0.0272430149466587,0.005797642207721,0.303482953821731,5820000000.0,0.0
